alphaTrajectory,adaptErrSeq,noAdaptErrorSeq,y_u_preds_inv,y_l_preds_inv,y_true_vals_inv,local_coverage,local_mpiw,standard_dev,time,picp,mpiw
0.159,0.0,0.0,1233.5334,423.19308,450.03,0.949999988079071,2629.63623046875,,,,
0.16,0.0,0.0,2616.623,-9.552521,845.7199,0.949999988079071,2676.52587890625,,,,
0.161,0.0,0.0,2644.9822,9.763397,1105.76,0.949999988079071,2658.31103515625,,,,
0.162,0.0,0.0,3159.2166,155.35495,820.5998,0.949999988079071,2623.580810546875,,,,
0.163,0.0,0.0,2510.974,116.34909,518.09,0.949999988079071,2579.309814453125,,,,
0.164,0.0,0.0,2020.355,216.29416,855.13995,0.949999988079071,2561.8115234375,,,,
0.165,0.0,0.0,2591.772,143.2341,1053.8301,0.949999988079071,2567.59521484375,,,,
0.166,0.0,0.0,3515.5735,347.66135,973.64996,0.949999988079071,2558.482666015625,,,,
0.167,0.0,0.0,2364.7893,307.48898,205.3801,0.949999988079071,2520.99072265625,,,,
0.168,0.0,0.0,1829.7612,75.74606,412.8701,0.925000011920929,2499.31494140625,,,,
0.169,0.0,0.0,2363.9219,117.64035,610.35004,0.925000011920929,2569.041015625,,,,
0.17,0.0,0.0,2643.1697,-111.634796,899.8199,0.925000011920929,2644.5146484375,,,,
0.171,0.0,0.0,2863.7922,39.1257,803.31,0.925000011920929,2624.08203125,,,,
0.172,0.0,0.0,2037.0265,-56.375275,1005.94,0.8999999761581421,2592.75927734375,,,,
0.173,0.0,0.0,2432.1533,388.00656,466.84006,0.8999999761581421,2596.203857421875,,,,
0.174,0.0,0.0,1894.0476,3.8844907,459.05002,,,,,,
0.175,0.0,0.0,1473.5378,163.03195,706.6899,,,,,,
0.176,0.0,0.0,2173.4514,304.43332,1041.7999,,,,,,
0.177,0.0,0.0,2412.21,236.48679,1036.9,,,,,,
0.178,0.0,0.0,2375.6006,144.94284,527.89984,,,,,,
0.179,0.0,0.0,1519.9401,201.67404,998.07,,,,,,
0.18,0.0,0.0,2645.797,202.0864,1493.54,,,,,,
0.181,0.0,0.0,3676.7703,439.9587,2299.9,,,,,,
0.182,0.0,0.0,4093.3545,178.42575,2666.85,,,,,,
0.183,0.0,0.0,4728.1987,527.3244,855.9499,,,,,,
0.184,0.0,0.0,1937.8429,199.45212,1676.2201,,,,,,
0.175,1.0,1.0,2437.797,749.3686,7982.6104,,,,,,
0.166,1.0,1.0,10850.89,2553.943,906.31,,,,,,
0.167,0.0,0.0,4590.5225,1230.9764,2280.78,,,,,,
0.168,0.0,0.0,4945.0347,872.04095,819.4399,,,,,,
0.169,0.0,0.0,8580.812,917.352,1232.26,,,,,,
0.17,0.0,0.0,4363.1787,459.9316,412.31003,,,,,,
0.171,0.0,0.0,2172.8435,156.14792,311.05002,,,,,,
0.172,0.0,0.0,1914.833,92.640594,75.6799,,,,,,
0.173,0.0,0.0,1104.9023,51.536346,678.15985,,,,,,
0.174,0.0,0.0,2073.4136,223.06735,1115.54,,,,,,
0.175,0.0,0.0,3329.49,222.11276,2060.67,,,,,,
0.176,0.0,0.0,2946.1587,351.37228,372.74997,,,,,,
0.177,0.0,0.0,934.6397,108.010956,488.45993,,,,,,
0.178,0.0,0.0,2214.134,279.0969,106.700165,,,,,,
0.179,0.0,0.0,2764.3232,78.40329,518.37006,,,,,,
0.18,0.0,0.0,1902.0061,4.410858,345.58005,,,,,,
0.181,0.0,0.0,1210.1492,-35.855255,168.37009,,,,,,
0.182,0.0,0.0,1205.6719,-27.349884,189.70993,,,,,,
0.183,0.0,0.0,1464.2065,-230.48636,402.1799,,,,,,
0.184,0.0,0.0,2103.5662,68.153534,1105.8,,,,,,
0.185,0.0,0.0,2149.0557,65.02634,127.65988,,,,,,
0.186,0.0,0.0,1479.7845,-188.45462,405.29,,,,,,
0.177,1.0,1.0,1259.2662,68.99777,2745.1,,,,,,
0.178,0.0,0.0,4711.5166,168.45773,3048.63,,,,,,
0.179,0.0,0.0,5926.819,661.59296,1032.87,,,,,,
0.18,0.0,0.0,2071.3252,133.82785,496.9299,,,,,,
0.171,1.0,1.0,1998.1685,426.40842,229.69992,,,,,,
0.172,0.0,0.0,2521.7378,290.5527,261.82004,,,,,,
