alphaTrajectory,adaptErrSeq,noAdaptErrorSeq,y_u_preds_inv,y_l_preds_inv,y_true_vals_inv,local_coverage,local_mpiw,standard_dev,time,picp,mpiw
0.107,1.0,1.0,6581.395,680.14105,9168.87,0.925000011920929,5243.56689453125,,,,
0.108,0.0,0.0,12426.653,2188.4888,9269.2,0.949999988079071,5242.76171875,,,,
0.109,0.0,0.0,10839.781,3511.7673,6191.4097,0.949999988079071,5086.11083984375,,,,
0.1,1.0,1.0,6940.9956,2253.0542,1212.9,0.949999988079071,5016.2919921875,,,,
0.101,0.0,0.0,6558.35,279.66672,2525.3,0.9750000238418579,4983.8466796875,,,,
0.102,0.0,0.0,7584.9272,1193.187,1117.4501,0.9750000238418579,4883.3388671875,,,,
0.103,0.0,0.0,9532.342,941.1558,606.34,0.9750000238418579,4791.9658203125,,,,
0.104,0.0,0.0,3324.5598,640.54584,474.09006,0.949999988079071,4671.2099609375,,,,
0.105,0.0,0.0,3434.6057,246.5422,1867.64,0.949999988079071,4782.43359375,,,,
0.106,0.0,0.0,7845.937,468.20798,2347.68,0.949999988079071,4865.37451171875,,,,
0.107,0.0,0.0,5753.779,340.22507,4843.68,0.949999988079071,4716.9736328125,,,,
0.108,0.0,0.0,8193.477,362.43576,3998.97,0.949999988079071,4656.9404296875,,,,
0.109,0.0,0.0,7473.8403,789.70844,4573.79,0.949999988079071,4616.375,,,,
0.1,1.0,1.0,7047.619,1183.144,446.31003,0.949999988079071,4547.56201171875,,,,
0.101,0.0,0.0,5423.873,607.64056,1453.5499,0.9750000238418579,4449.984375,,,,
0.102,0.0,0.0,4925.2905,817.1237,1156.6101,0.9750000238418579,4492.2373046875,,,,
0.103,0.0,0.0,5101.689,525.4272,1138.1,0.9750000238418579,4544.3076171875,,,,
0.104,0.0,0.0,3889.7273,331.4504,287.35007,0.9750000238418579,4602.99560546875,,,,
0.105,0.0,0.0,2524.9119,386.0991,568.4399,0.949999988079071,4645.4833984375,,,,
0.106,0.0,0.0,2637.1074,42.152313,794.54,0.949999988079071,4644.9873046875,,,,
0.107,0.0,0.0,6445.7114,197.57492,931.51984,0.949999988079071,4659.71484375,,,,
0.108,0.0,0.0,7033.9985,279.64474,3880.2,0.949999988079071,4628.7861328125,,,,
0.109,0.0,0.0,10937.863,605.3625,844.9001,0.949999988079071,4553.34130859375,,,,
0.11,0.0,0.0,6078.463,261.43478,633.77997,0.949999988079071,4387.8505859375,,,,
0.111,0.0,0.0,2778.1785,20.258026,2120.33,0.949999988079071,4276.99658203125,,,,
0.112,0.0,0.0,5891.8994,205.36545,1603.13,0.949999988079071,4359.375,,,,
0.113,0.0,0.0,4226.8237,370.23288,371.07004,0.949999988079071,4325.62890625,,,,
0.114,0.0,0.0,5662.4688,329.7424,440.57004,0.949999988079071,4341.9990234375,,,,
0.115,0.0,0.0,5509.3057,191.97604,274.81003,0.949999988079071,4329.3642578125,,,,
0.116,0.0,0.0,3612.5898,430.40768,1072.4401,0.949999988079071,4290.9306640625,,,,
0.117,0.0,0.0,4234.1357,251.7302,641.63983,0.949999988079071,4325.11865234375,,,,
0.118,0.0,0.0,5459.191,100.32614,296.53,0.949999988079071,4355.90283203125,,,,
0.119,0.0,0.0,2167.5737,228.81589,1083.25,0.949999988079071,4343.12548828125,,,,
0.12,0.0,0.0,2907.5854,-70.500275,2815.18,0.949999988079071,4370.421875,,,,
0.121,0.0,0.0,7238.7915,685.30927,3579.73,0.949999988079071,4379.40478515625,,,,
0.122,0.0,0.0,6987.052,492.3984,1999.9299,0.949999988079071,4321.8173828125,,,,
