alphaTrajectory,adaptErrSeq,noAdaptErrorSeq,y_u_preds_inv,y_l_preds_inv,y_true_vals_inv,time
0.09,0.0,0.0,6259.1694,125.25192,345.58005,
0.091,0.0,0.0,6169.6655,11.6718445,168.37009,
0.082,1.0,1.0,5821.3315,109.70334,189.70993,
0.083,0.0,0.0,6055.3833,52.021698,402.1799,
0.084,0.0,0.0,5346.262,87.46457,1105.8,
0.085,0.0,0.0,6235.818,127.47702,127.65988,
0.086,0.0,0.0,4610.6353,65.195526,405.29,
0.087,0.0,0.0,4662.9004,71.80783,2745.1,
0.088,0.0,0.0,6771.494,-87.23416,3048.63,
0.089,0.0,0.0,7170.0415,244.68698,1032.87,
0.09,0.0,0.0,6481.802,284.02634,496.9299,
0.081,1.0,1.0,6800.4443,223.88205,229.69992,
0.082,0.0,0.0,6867.983,287.59494,261.82004,
