alphaTrajectory,adaptErrSeq,noAdaptErrorSeq,y_u_preds_inv,y_l_preds_inv,y_true_vals_inv,time
0.166,1.0,1.0,10154.835,2671.4573,906.31,
0.167,0.0,0.0,3801.3425,-45.590363,2280.78,
0.168,0.0,0.0,3697.217,857.4202,819.4399,
0.169,0.0,0.0,4045.5144,17.861786,1232.26,
0.17,0.0,0.0,3959.5317,277.72556,412.31003,
0.171,0.0,0.0,2168.2007,-323.4932,311.05002,
0.172,0.0,0.0,3028.2432,-309.3411,75.6799,
0.173,0.0,0.0,2755.2136,-315.7996,678.15985,
0.174,0.0,0.0,3057.8535,-336.49734,1115.54,
0.175,0.0,0.0,3186.5881,-126.759796,2060.67,
0.166,1.0,1.0,3460.1233,371.2148,372.74997,
0.167,0.0,0.0,2056.6367,7.5119324,488.45993,
0.168,0.0,0.0,2501.5305,-117.959015,106.700165,
0.169,0.0,0.0,3097.9404,139.686,518.37006,
0.17,0.0,0.0,2497.7131,-322.94217,345.58005,
0.171,0.0,0.0,2253.3938,-633.033,168.37009,
0.172,0.0,0.0,1496.9923,-286.61526,189.70993,
0.173,0.0,0.0,1782.0902,-589.32355,402.1799,
0.174,0.0,0.0,2040.9425,-441.82083,1105.8,
0.175,0.0,0.0,2233.582,71.364716,127.65988,
0.176,0.0,0.0,1640.616,52.7258,405.29,
0.167,1.0,1.0,2171.2568,-151.49466,2745.1,
0.168,0.0,0.0,4119.204,213.64206,3048.63,
0.169,0.0,0.0,6797.5024,203.33249,1032.87,
0.17,0.0,0.0,2326.1912,206.6091,496.9299,
0.171,0.0,0.0,1997.1659,-41.04886,229.69992,
0.172,0.0,0.0,2838.7407,-88.78006,261.82004,
