alphaTrajectory,adaptErrSeq,noAdaptErrorSeq,y_u_preds_inv,y_l_preds_inv,y_true_vals_inv,local_coverage,local_mpiw,standard_dev,time,picp,mpiw
0.129,0.0,0.0,4732.0557,243.05197,483.9299,0.8999999761581421,4761.0126953125,,,,
0.13,0.0,0.0,2750.3423,2.237274,1294.1,0.8999999761581421,4715.42333984375,,,,
0.131,0.0,0.0,7047.4897,230.73581,1204.27,0.8999999761581421,4737.1826171875,,,,
0.132,0.0,0.0,5404.834,-120.85037,2077.32,0.8999999761581421,4663.5166015625,,,,
0.133,0.0,0.0,5983.904,450.95236,1077.4,0.8999999761581421,4644.951171875,,,,
0.134,0.0,0.0,5598.9937,255.4426,1272.08,0.8999999761581421,4601.9873046875,,,,
0.135,0.0,0.0,5151.439,212.56857,1647.07,0.8999999761581421,4554.97802734375,,,,
0.136,0.0,0.0,5728.3574,250.44968,2294.89,0.8999999761581421,4517.4599609375,,,,
0.137,0.0,0.0,6478.866,561.9611,1563.04,0.8999999761581421,4488.7470703125,,,,
0.138,0.0,0.0,5165.2544,183.16476,1928.29,0.8999999761581421,4445.638671875,,,,
0.139,0.0,0.0,5009.196,393.19504,1481.48,0.8999999761581421,4399.3798828125,,,,
0.14,0.0,0.0,5896.1006,40.177704,1664.86,0.8999999761581421,4394.23193359375,,,,
0.141,0.0,0.0,6137.92,569.4882,703.60004,0.8999999761581421,4360.744140625,,,,
0.142,0.0,0.0,3581.1663,-28.373322,1763.67,0.8999999761581421,4302.7900390625,,,,
0.143,0.0,0.0,4921.2397,485.69162,3990.8,0.8999999761581421,4312.26416015625,,,,
0.144,0.0,0.0,8036.295,975.61237,4397.07,0.8999999761581421,4289.08349609375,,,,
0.135,1.0,1.0,7622.4395,1687.9387,196.86008,0.8999999761581421,4194.2548828125,,,,
0.136,0.0,0.0,2846.0798,179.6362,1308.53,0.925000011920929,4132.1279296875,,,,
0.137,0.0,0.0,4614.6704,715.57416,1426.1001,0.925000011920929,4151.74609375,,,,
0.138,0.0,0.0,5858.0103,613.3112,3795.81,0.925000011920929,4157.7265625,,,,
0.139,0.0,0.0,7194.3843,556.3466,824.41986,0.925000011920929,4112.7919921875,,,,
0.14,0.0,0.0,3467.0115,180.31906,1022.13995,0.925000011920929,4020.49267578125,,,,
0.141,0.0,0.0,4106.6875,134.3757,884.2199,0.925000011920929,4022.469482421875,,,,
0.142,0.0,0.0,4585.067,251.74387,387.73996,0.925000011920929,4028.883544921875,,,,
0.143,0.0,0.0,4491.159,183.73361,850.91986,0.925000011920929,4039.0,,,,
0.144,0.0,0.0,6775.361,265.47873,1090.9102,0.925000011920929,4079.6484375,,,,
0.135,1.0,1.0,4944.1353,230.47092,234.53,0.925000011920929,3983.60400390625,,,,
0.136,0.0,0.0,4355.358,68.52121,105.37009,0.925000011920929,3964.77490234375,,,,
0.127,1.0,1.0,4189.697,30.025116,104.03,0.8999999761581421,4071.668701171875,,,,
0.128,0.0,0.0,3719.9814,-325.79105,542.4799,0.925000011920929,4095.2421875,,,,
0.129,0.0,0.0,3263.0178,-120.5264,882.9399,0.925000011920929,4086.00634765625,,,,
0.13,0.0,0.0,4559.697,70.511444,578.83,0.925000011920929,4122.85205078125,,,,
0.131,0.0,0.0,4932.785,-105.856476,380.34006,0.925000011920929,4154.52099609375,,,,
0.132,0.0,0.0,3615.4968,-42.078156,824.16986,0.925000011920929,4093.581298828125,,,,
0.133,0.0,0.0,4309.117,1.6828306,650.83,0.8999999761581421,4088.594482421875,,,,
0.134,0.0,0.0,3455.3584,-128.43729,2074.02,0.8999999761581421,4107.47314453125,,,,
0.135,0.0,0.0,5853.7397,202.89426,1049.59,0.8999999761581421,4111.1220703125,,,,
0.136,0.0,0.0,4478.7817,231.22482,3471.46,0.8999999761581421,4066.68115234375,,,,
0.127,1.0,1.0,6340.8086,353.11154,484.45993,0.8999999761581421,4053.89306640625,,,,
0.128,0.0,0.0,3291.1057,113.17819,319.49997,0.925000011920929,3964.27880859375,,,,
0.129,0.0,0.0,2941.4368,276.00168,450.03,0.925000011920929,3996.274169921875,,,,
0.13,0.0,0.0,3293.948,-324.51712,845.7199,0.925000011920929,4054.829345703125,,,,
0.131,0.0,0.0,4135.088,264.96237,1105.76,0.925000011920929,4055.821044921875,,,,
0.132,0.0,0.0,4770.8315,-12.22464,820.5998,0.925000011920929,4022.123779296875,,,,
0.133,0.0,0.0,3798.96,-15.436798,518.09,0.925000011920929,3979.45654296875,,,,
0.134,0.0,0.0,3383.9937,-79.19632,855.13995,0.925000011920929,3966.301513671875,,,,
0.135,0.0,0.0,3668.986,230.83347,1053.8301,0.925000011920929,3927.770263671875,,,,
0.136,0.0,0.0,4339.8496,10.477509,973.64996,0.925000011920929,3904.533935546875,,,,
0.137,0.0,0.0,3793.1946,-399.38846,205.3801,0.925000011920929,3844.214111328125,,,,
0.138,0.0,0.0,3139.32,7.5881042,412.8701,0.925000011920929,3826.7109375,,,,
0.139,0.0,0.0,4409.5264,-0.545685,610.35004,0.925000011920929,3900.90625,,,,
0.14,0.0,0.0,4695.3726,178.94772,899.8199,0.925000011920929,3956.43310546875,,,,
0.141,0.0,0.0,3254.4905,4.240448,803.31,0.925000011920929,3916.608154296875,,,,
